player_name,age,player_height
Yogi Ferrell,28,182.88
Zion Williamson,20,200.66
Zeke Nnaji,20,205.74
Zach LaVine,26,195.58
Yuta Watanabe,26,205.74
Xavier Tillman,22,203.2
Willie Cauley-Stein,27,213.36
Frank Kaminsky,28,213.36
Frank Mason,27,180.34
Frank Ntilikina,22,193.04
Fred VanVleet,27,185.42
Freddie Gillespie,24,205.74
Furkan Korkmaz,23,200.66
Gabe Vincent,25,190.5
Gabriel Deck,26,198.12
Garrett Temple,35,195.58
Garrison Mathews,24,195.58
Gary Clark,26,198.12
Gary Harris,26,193.04
Gary Payton II,28,190.5
Gary Trent Jr.,22,195.58
George Hill,35,193.04
Georges Niang,28,200.66
Giannis Antetokounmpo,26,210.82
Glenn Robinson III,27,198.12
Goga Bitadze,21,210.82
Goran Dragic,35,190.5
Gordon Hayward,31,200.66
Gorgui Dieng,31,208.28
Grant Riller,24,187.96
Grant Williams,22,198.12
Grayson Allen,25,193.04
Greg Whittington,28,203.2
Hamidou Diallo,22,195.58
Harrison Barnes,29,203.2
Harry Giles III,23,210.82
Frank Jackson,23,190.5
Hassan Whiteside,32,213.36
Facundo Campazzo,30,177.8
Ersan Ilyasova,34,205.74
Devon Dotson,21,187.96
Devontae Cacok,24,200.66
Devonte' Graham,26,185.42
Dewayne Dedmon,31,213.36
Didi Louzada,21,195.58
Dillon Brooks,25,200.66
Domantas Sabonis,25,210.82
Donovan Mitchell,24,185.42
Donta Hall,23,208.28
Donte DiVincenzo,24,193.04
Dorian Finney-Smith,28,200.66
Doug McDermott,29,200.66
Draymond Green,31,198.12
Drew Eubanks,24,205.74
Duncan Robinson,27,200.66
Dwayne Bacon,25,198.12
Dwight Howard,35,208.28
Dwight Powell,29,208.28
Dylan Windler,24,198.12
E'Twaun Moore,32,190.5
Ed Davis,32,205.74
Edmond Sumner,25,193.04
Elfrid Payton,27,190.5
Elijah Bryant,26,195.58
Elijah Hughes,23,195.58
Enes Kanter,29,208.28
Eric Bledsoe,31,185.42
Eric Gordon,32,190.5
Eric Paschall,24,198.12
Evan Fournier,28,200.66
Henry Ellenson,24,208.28
Ignas Brazdeikis,22,198.12
Iman Shumpert,31,195.58
Jared Dudley,35,198.12
Jared Harper,23,177.8
Jaren Jackson Jr.,21,210.82
Jarred Vanderbilt,22,205.74
Jarrell Brantley,25,195.58
Jarrett Allen,23,210.82
Jarrett Culver,22,198.12
Javonte Green,27,193.04
Jaxson Hayes,21,210.82
Jay Scrubb,20,195.58
Jaylen Adams,25,182.88
Jaylen Brown,24,198.12
Jaylen Hoard,22,203.2
Jaylen Nowell,21,193.04
Jayson Tatum,23,203.2
Jeff Green,34,203.2
Jeff Teague,33,190.5
Jerami Grant,27,203.2
Jeremiah Martin,25,187.96
Jeremy Lamb,29,195.58
Jerome Robinson,24,193.04
Jevon Carter,25,185.42
Jimmy Butler,31,200.66
Joe Harris,29,198.12
Joe Ingles,33,203.2
Joel Embiid,27,213.36
John Collins,23,205.74
John Konchar,25,195.58
