city,race,population
New York,American Indian and Alaska Native,90923
New York,White,3835726
New York,Hispanic or Latino,2485125
New York,Black or African-American,2192248
New York,Asian,1304564
Los Angeles,Hispanic or Latino,1936732
Los Angeles,Black or African-American,404868
Los Angeles,American Indian and Alaska Native,63758
Los Angeles,Asian,512999
Los Angeles,White,2177650
Chicago,White,1374535
Chicago,Black or African-American,873316
Chicago,Hispanic or Latino,785725
Chicago,American Indian and Alaska Native,23323
Chicago,Asian,195084
Houston,Hispanic or Latino,1028148
Houston,Asian,173854
Houston,White,1386389
Houston,Black or African-American,529431
Houston,American Indian and Alaska Native,13157
Philadelphia,Asian,122721
Philadelphia,Hispanic or Latino,219038
Philadelphia,Black or African-American,691186
Philadelphia,American Indian and Alaska Native,17500
Philadelphia,White,688130
